molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL62226,COc1ccc(C(=O)c2cc(/C=C/C(=O)NO)n(C)c2)cc1,2900.0,intermediate
CHEMBL13235,Cn1cc(C(=O)c2ccccc2)cc1CCC(=O)NO,36800.0,inactive
CHEMBL319375,Nc1cc(Cl)ccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,40000.0,inactive
CHEMBL146677,Cn1cc(C(=O)c2ccccc2)cc1/C=C/C(=N)N,23000.0,inactive
CHEMBL55234,O=C(CCCCCCNC(=O)c1ccc[nH]1)NO,524.0,active
CHEMBL56770,CC1c2ccccc2CC1C(=O)NCCCCCCC(=O)NO,732.0,active
CHEMBL116900,O=C(C1CC1CCCCOc1ccc(-c2ccccc2)cc1)C(F)(F)F,2900.0,intermediate
CHEMBL147134,CCOC(=O)NCCSSCCNC(=O)/C(Cc1ccc(O)c(Br)c1)=N/O,79.0,active
CHEMBL294194,COc1cc(OC)c2cc(C(=O)NCCCCCCC(=O)NO)[nH]c2c1,3.1,active
CHEMBL27556,O=C(NO)c1ccc(CNC(=O)c2ccc3ccccc3c2)cc1,44.0,active
CHEMBL13168,Cn1cc(C(=O)c2ccccc2)cc1/C=C/C(=O)NO,3800.0,intermediate
CHEMBL116979,CC(=O)CCCCCCOc1ccc(-c2ccccc2)cc1,50000.0,inactive
CHEMBL149765,Cn1cc(C(=O)Cc2ccccc2)cc1C=C1C(=O)NC(=O)NC1=O,104000.0,inactive
CHEMBL26518,O=C(NCC1CCC(C(=O)NO)CC1)c1ccc2ccccc2c1,2000.0,intermediate
CHEMBL26844,O=C(NO)c1ccc(CNC(=O)c2ccc(-c3ccccc3)cc2)cc1,240.0,active
CHEMBL2371007,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)NO)NC(=O)[C@H]2CCCCN2C1=O,0.2,active
CHEMBL117610,O=C(C#CCCCCOc1ccc(-c2ccccc2)cc1)C(F)(F)F,8600.0,intermediate
CHEMBL146251,Cn1cc(C(=O)Cc2ccccc2)cc1C=C1C(=O)NC(=S)NC1=O,85000.0,inactive
CHEMBL343476,COC(=O)NCCSSCCNC(=O)/C(Cc1ccc(O)c(Br)c1)=N/O,44.0,active
CHEMBL147655,O=C(CCCCCCN1c2cccc3cccc(c23)S1(=O)=O)NO,10.0,active
CHEMBL56157,O=C(CCCCCCNC(=O)c1cc2ccccc2[nH]1)NO,14.6,active
CHEMBL54543,O=C(CCCCCCNC(=O)c1cccc2[nH]ccc12)NO,80.3,active
CHEMBL149337,O=C(/C=C/c1cc(C(=O)c2ccccc2)c[nH]1)NO,5000.0,intermediate
CHEMBL27759,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,4800.0,intermediate
CHEMBL323647,O=C(CCCCCCC(=O)C(F)(F)F)Nc1ccc(-c2ccccc2)cc1,3000.0,intermediate
CHEMBL99,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,12.0,active
CHEMBL46942,CN(C)c1ccc(C(=O)NCCCCCC(=O)NO)cc1,152.0,active
CHEMBL55974,C[C@H](CCCCC(=O)NO)NC(=O)c1ccc(N(C)C)cc1,359.0,active
CHEMBL283439,O=C(NO)C1CCC(CNS(=O)(=O)c2ccc3ccccc3c2)CC1,1100.0,intermediate
CHEMBL145885,O=C(/C=C/c1cc(C(=O)c2ccccc2)cn1-c1ccccc1)NO,110000.0,inactive
CHEMBL99737,Nc1cccc(NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2)c1,100000.0,inactive
CHEMBL100282,COc1ccc(N)c(NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2)c1,4600.0,intermediate
CHEMBL321283,Nc1ccc(Cl)cc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,7700.0,intermediate
CHEMBL331158,O=C(CCCCCCC(=O)C(F)(F)F)Nc1ccc(Oc2ccccc2)cc1,300.0,active
CHEMBL324819,O=C(CCCCCCC(=O)C(F)(F)F)Nc1cccc(Oc2ccccc2)c1,3200.0,intermediate
CHEMBL430060,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,1.0,active
CHEMBL2371003,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)C(C)F)NC(=O)[C@H]2CCCCN2C1=O,1.0,active
CHEMBL293812,COc1ccc2[nH]c(C(=O)NCCCCCCC(=O)NO)cc2c1,6.5,active
CHEMBL51356,Cc1ccc(C(=O)c2cc(/C=C/C(=O)NO)n(C)c2)cc1,1900.0,intermediate
CHEMBL150236,NC(=O)C(=O)NCCSSCCNC(=O)/C(Cc1ccc(O)c(Br)c1)=N/O,330.0,active
CHEMBL114725,O=C(CCc1ccc(C(=O)C(F)(F)F)cc1)Nc1ccccc1,50000.0,inactive
CHEMBL146446,O=C(CCCCCCNC(=O)C1Cc2ccccc2O1)NO,29.6,active
CHEMBL294464,O=C(CCCCCCNC(=O)c1c[nH]c2ccccc12)NO,37.5,active
CHEMBL55499,O=C(CCCCCCNC(=O)c1ccc2[nH]ccc2c1)NO,31.4,active
CHEMBL301223,O=C(CCCCCCNC(=O)c1cc2cc(Br)ccc2[nH]1)NO,3.5,active
CHEMBL56344,COc1ccc2oc(C(=O)NCCCCCCC(=O)NO)cc2c1,15.0,active
CHEMBL28280,O=C(NO)c1ccc(CNC(=O)c2cccc3ccccc23)cc1,830.0,active
CHEMBL321105,COc1ccc(NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2)c(N)c1,44000.0,inactive
CHEMBL83747,O=C(NCCSSCCNC(=O)/C(Cc1ccc(O)c(Br)c1)=N/O)/C(Cc1ccc(O)c(Br)c1)=N/O,4.0,active
CHEMBL294808,Cn1cc(C(=O)c2ccc([N+](=O)[O-])cc2)cc1/C=C/C(=O)NO,3900.0,intermediate
CHEMBL147520,CC(C)n1cc(C(=O)c2ccccc2)cc1/C=C/C(=O)NO,53000.0,inactive
CHEMBL2371006,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)C2CO2)NC(=O)[C@H]2CCCCN2C1=O,0.1,active
CHEMBL62381,CCCC(=O)[O-].[Na+],140000.0,inactive
CHEMBL356066,O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO,32.0,active
CHEMBL317252,Cc1ccc(NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2)c(N)c1,100000.0,inactive
CHEMBL2370998,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)C(C)O)NC(=O)[C@H]2CCCCN2C1=O,0.3,active
CHEMBL1793812,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)C2CO2)NC(=O)[C@H]2CCCCN2CC1=O,0.1,active
CHEMBL1793941,CCC(=O)C1OC1CCC[C@@H]1NC(=O)[C@H]2CCCCN2CC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,5.0,active
CHEMBL1793815,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2CC(=O)[C@H]([C@@H](C)CC)/N=C(\S)[C@H](Cc2cn(OC)c3ccccc23)N=C1S,85.0,active
CHEMBL1793827,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)O)NC(=O)[C@H]2CCCCN2CC1=O,15.0,active
CHEMBL1793821,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCCC(=O)O)NC(=O)[C@H]2CCCCN2CC1=O,848.0,active
CHEMBL1793822,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)C(C)O)NC(=O)[C@H]2CCCCN2CC1=O,0.3,active
CHEMBL1793806,C=C(CC)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2CC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,1450.0,intermediate
CHEMBL1793808,CCC(N)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2CC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,144.0,active
CHEMBL1793939,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCSC(C)=O)NC(=O)[C@H]2CCCCN2CC1=O,110.0,active
CHEMBL1793944,CCC(CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2CC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O)SC(C)=O,73.0,active
CHEMBL1793943,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2CC(=O)[C@H]([C@@H](C)CC)/N=C(\S)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,85.0,active
CHEMBL1793938,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(C)=O)NC(=O)[C@H]2CCCCN2CC1=O,2.0,active
CHEMBL1793947,CCCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2CC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,1.0,active
CHEMBL1793825,CCC(=O)C(O)CCCC[C@@H]1NC(=O)[C@H]2CCCCN2CC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,39.0,active
CHEMBL1793807,CCCCCCCC[C@@H]1NC(=O)[C@H]2CCCCN2CC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,61.0,active
CHEMBL1793824,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)C(C)=O)NC(=O)[C@H]2CCCCN2CC1=O,30.0,active
CHEMBL1793809,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCP(=O)(OC)OC)NC(=O)[C@H]2CCCCN2CC1=O,450.0,active
CHEMBL1793940,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCSC)NC(=O)[C@H]2CCCCN2CC1=O,326.0,active
CHEMBL1793828,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCC(=O)O)NC(=O)[C@H]2CCCCN2CC1=O,282.0,active
CHEMBL1793945,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCSC(C)=O)NC(=O)[C@H]2CCCCN2CC1=O,3.0,active
CHEMBL1793814,CCC(=O)CCCCC[C@@H]1/N=C(\S)[C@H]2CCCCN2CC(=O)[C@H]([C@@H](C)CC)/N=C(\S)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,85.0,active
CHEMBL1793810,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2CC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,1.0,active
CHEMBL1793811,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)NO)NC(=O)[C@H]2CCCCN2CC1=O,0.2,active
CHEMBL1793817,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCNC(C)=O)NC(=O)[C@H]2CCCCN2CC1=O,2000.0,intermediate
CHEMBL1793942,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)c2ccccc2)NC(=O)[C@H]2CCCCN2CC1=O,700.0,active
CHEMBL1793813,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC2(CC)CO2)NC(=O)[C@H]2CCCCN2CC1=O,60.0,active
CHEMBL1793816,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)OC)NC(=O)[C@H]2CCCCN2CC1=O,0.4,active
CHEMBL1793823,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)C(C)F)NC(=O)[C@H]2CCCCN2CC1=O,1.0,active
CHEMBL1793818,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCP(=O)([O-])O)NC(=O)[C@H]2CCCCN2CC1=O.[K+],180.0,active
CHEMBL1793826,CCC(=O)C(F)CCCC[C@@H]1NC(=O)[C@H]2CCCCN2CC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,110.0,active
CHEMBL1793946,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)C(C)C)NC(=O)[C@H]2CCCCN2CC1=O,235.0,active
CHEMBL1793937,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC=O)NC(=O)[C@H]2CCCCN2CC1=O,6.0,active
CHEMBL1793820,CCC(=O)C(=O)CCCC[C@@H]1NC(=O)[C@H]2CCCCN2CC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,18.0,active
CHEMBL1793936,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCC(=O)OC)NC(=O)[C@H]2CCCCN2CC1=O,74.0,active
CHEMBL1793819,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCCC(=O)OC)NC(=O)[C@H]2CCCCN2CC1=O,7.0,active
CHEMBL88332,C1=C/CCCCCC[n+]2cccc(c2)CCCCCCCCCCCC[n+]2cccc(c2)CCCCCC/1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,17000.0,inactive
CHEMBL313899,C1=C/CCCCCC[n+]2cccc(c2)CCCCCCCCCCCCC[n+]2cccc(c2)CCCCCC/1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,30000.0,inactive
CHEMBL89033,C1=C/CCC[n+]2cccc(c2)CCCCCCCCCCCC[n+]2cccc(c2)CCCCCC/1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,80000.0,inactive
CHEMBL328885,C1=C/CCCC[n+]2cccc(c2)CCCCCCCCCCCC[n+]2cccc(c2)CCCCCC/1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,61000.0,inactive
CHEMBL112870,O=C(CCCCCCNCCS)Nc1ccccc1.O=C(O)C(F)(F)F,100000.0,inactive
CHEMBL324126,CN(C)c1ccc(C(=O)NCCCCCCS)cc1,610.0,active
CHEMBL112105,O=C(NCCCCCCS)c1cc2ccccc2o1,79.0,active
CHEMBL320323,O=C(CCCCCCS)Nc1cccc(-c2ccccc2)c1,75.0,active
CHEMBL109796,SCCCCCCOc1ccccc1,11000.0,inactive
CHEMBL325675,CN(C)c1ccc(NC(=O)CCCCCCS)cc1,1200.0,intermediate
CHEMBL111805,CSCCCCCCC(=O)Nc1ccccc1,100000.0,inactive
CHEMBL325676,O=C(CCCCCCS)Nc1ccccc1,210.0,active
CHEMBL326433,O=C(CCCCCCCS)Nc1ccccc1,1500.0,intermediate
CHEMBL113159,O=C(NCCCCCCS)c1cc2ccccc2[nH]1,100.0,active
CHEMBL419758,O=C(CCCCCCS)Nc1nc(-c2ccccc2)cs1,170.0,active
CHEMBL332246,O=C(CCCCCCS)Nc1cccnc1,110.0,active
CHEMBL114344,O=C(CCCCS)Nc1ccccc1,6200.0,intermediate
CHEMBL112364,O=C(NCCCCCCS)c1ccccc1,360.0,active
CHEMBL112311,O=C(CCCCCCS)Nc1ccc(-c2ccccc2)cc1,1100.0,intermediate
CHEMBL112234,O=C(CCCCCCS)Nc1cnc2ccccc2c1,72.0,active
CHEMBL113421,O=C(NCCCCCCS)c1ccc2ccccc2c1,85.0,active
CHEMBL109654,O=C(CCCCCS)Nc1ccccc1,370.0,active
CHEMBL322504,O=C(CCCCCCS)Nc1cccc(Oc2ccccc2)c1,210.0,active
